2742, 343, 38.00, 14.09, 57.14, 0.29, 53.30
2743, 347, 38.80, 14.12, 57.04, 0.34, 53.90
2744, 344, 39.00, 14.17, 57.18, 0.31, 55.10
2745, 346, 37.90, 14.08, 56.85, 0.30, 54.30
2747, 343, 37.70, 14.07, 56.91, 0.34, 55.60
2748, 343, 38.70, 14.20, 57.19, 0.29, 54.90
2749, 342, 38.70, 14.14, 57.07, 0.30, 55.40
2750, 341, 39.20, 14.11, 57.13, 0.30, 55.00
2751, 344, 38.30, 14.19, 56.86, 0.26, 55.80
2752, 342, 38.00, 14.22, 57.13, 0.27, 56.80
2753, 341, 39.10, 14.11, 56.84, 0.30, 56.80
2754, 341, 38.50, 14.25, 57.18, 0.28, 56.90
2755, 343, 38.30, 14.31, 57.14, 0.29, 56.50
2756, 342, 38.30, 14.27, 57.04, 0.25, 57.70
2757, 343, 37.70, 14.63, 57.78, 0.27, 57.50
2758, 341, 38.60, 14.30, 57.18, 0.30, 57.80
2759, 342, 39.40, 14.29, 57.11, 0.30, 58.90
2760, 341, 38.70, 14.29, 57.16, 0.30, 58.10
2761, 335, 38.60, 14.18, 57.09, 0.30, 58.60
2762, 336, 39.40, 14.15, 56.92, 0.32, 59.10
2763, 339, 38.70, 14.21, 56.90, 0.32, 59.00
2764, 343, 37.60, 14.33, 56.85, 0.32, 59.50
2765, 344, 38.30, 14.38, 56.85, 0.26, 60.00
2766, 340, 38.90, 14.28, 56.83, 0.27, 59.80
2768, 342, 37.80, 14.35, 56.86, 0.28, 60.10
2769, 342, 39.40, 14.40, 57.08, 0.31, 60.80
2770, 338, 38.40, 14.27, 57.12, 0.30, 60.90
2771, 343, 38.70, 14.35, 56.85, 0.30, 61.40
2772, 341, 38.10, 14.35, 56.86, 0.32, 61.60
2773, 334, 38.00, 14.24, 56.98, 0.30, 62.10
2774, 334, 37.80, 14.27, 57.04, 0.30, 60.90
2775, 334, 39.10, 14.26, 57.00, 0.27, 61.50
2776, 335, 38.30, 14.22, 56.89, 0.32, 61.70
2777, 333, 38.10, 14.26, 57.02, 0.32, 62.10
2778, 337, 37.90, 14.31, 56.95, 0.33, 62.10
2779, 336, 37.80, 14.32, 56.97, 0.29, 62.40
2780, 338, 39.40, 14.35, 57.06, 0.28, 63.60
2781, 338, 37.80, 14.42, 57.06, 0.26, 62.50
2782, 336, 39.20, 14.29, 56.97, 0.27, 63.70
2783, 335, 37.80, 14.35, 56.98, 0.33, 63.50
2784, 335, 39.40, 14.35, 57.00, 0.29, 63.90
2785, 335, 39.40, 14.38, 57.15, 0.29, 64.60
2786, 338, 38.30, 14.42, 56.97, 0.31, 64.40
2788, 338, 37.70, 14.41, 57.01, 0.32, 65.30
2789, 337, 39.30, 14.43, 57.04, 0.30, 66.20
2790, 336, 38.20, 14.41, 57.00, 0.30, 66.00
2791, 335, 38.10, 14.33, 56.91, 0.32, 66.80
2792, 333, 38.40, 14.34, 56.99, 0.30, 65.90
2793, 334, 39.60, 14.40, 57.01, 0.29, 66.40
2794, 334, 38.00, 14.40, 57.00, 0.32, 67.00
2795, 333, 37.90, 14.35, 56.94, 0.31, 66.50
2796, 335, 38.00, 14.38, 56.90, 0.29, 66.10
2797, 329, 38.30, 14.29, 56.96, 0.28, 68.40
2798, 327, 37.80, 14.26, 56.96, 0.28, 66.70
2799, 326, 38.50, 14.25, 56.98, 0.28, 68.00
2800, 324, 39.40, 14.20, 57.14, 0.30, 68.40
2801, 327, 38.00, 14.20, 56.87, 0.30, 68.10
2802, 328, 37.60, 14.27, 56.96, 0.28, 67.40
2803, 327, 37.60, 14.32, 57.11, 0.30, 67.40
2804, 332, 38.80, 14.39, 56.97, 0.32, 67.90
2805, 329, 39.00, 14.33, 57.00, 0.28, 68.00
2822, 231, 39.60, 4.97, 30.10, 0.15, 64.40
2823, 331, 38.40, 13.81, 57.08, 0.29, 63.60
2824, 332, 38.00, 13.88, 56.98, 0.30, 63.30
2825, 333, 39.50, 13.99, 57.02, 0.31, 64.60
2826, 335, 39.30, 14.04, 57.12, 0.29, 64.70
2827, 340, 39.50, 14.21, 57.09, 0.29, 65.10
2828, 332, 39.00, 14.06, 56.95, 0.29, 65.30
2829, 333, 38.30, 14.08, 56.95, 0.26, 66.50
2855, 112, 38.80, 0.57, 8.40, 0.08, 64.80
2856, 307, 38.50, 11.85, 52.92, 0.24, 61.80
2857, 337, 38.60, 13.66, 56.94, 0.31, 62.90
2859, 337, 38.40, 13.70, 57.14, 0.28, 64.10
2860, 335, 39.80, 13.76, 57.15, 0.27, 64.50
2863, 14, 40.80, 0.34, 4.95, 0.08, 64.70
2864, 252, 38.60, 5.91, 34.12, 0.21, 66.00
2865, 329, 37.80, 13.58, 56.99, 0.28, 64.00
2866, 331, 37.80, 13.71, 56.98, 0.29, 64.50
2895, 120, 40.00, 0.58, 8.61, 0.08, 65.80
2896, 319, 39.30, 13.08, 57.27, 0.30, 63.20
2897, 342, 38.00, 13.42, 56.79, 0.27, 63.40
2898, 345, 40.40, 13.66, 57.21, 0.29, 63.90
2899, 337, 39.70, 13.58, 57.06, 0.25, 64.70
2900, 333, 38.00, 13.45, 57.03, 0.30, 65.90
2901, 340, 38.00, 13.62, 56.86, 0.30, 66.10
2902, 340, 38.20, 13.78, 56.97, 0.25, 66.50
2903, 340, 39.40, 13.83, 57.10, 0.26, 67.30
2904, 338, 39.70, 13.79, 57.14, 0.30, 68.00
2906, 340, 38.90, 13.88, 57.08, 0.27, 69.60
2907, 339, 38.90, 13.85, 56.94, 0.32, 69.00
2908, 342, 38.00, 13.91, 56.87, 0.30, 69.00
2909, 340, 37.70, 13.92, 56.84, 0.29, 68.90
2910, 339, 37.60, 13.96, 56.97, 0.32, 69.20
2911, 340, 37.70, 14.04, 56.98, 0.32, 70.40
2929, 216, 39.70, 2.09, 17.51, 0.14, 64.00
2931, 327, 40.20, 13.28, 57.02, 0.26, 64.40
2932, 335, 39.20, 13.52, 57.03, 0.29, 65.10
2936, 214, 39.30, 2.17, 18.11, 0.14, 65.40
2937, 334, 38.10, 13.41, 56.95, 0.25, 70.30
2938, 334, 39.60, 13.51, 56.97, 0.26, 67.70
2939, 333, 39.90, 13.56, 57.01, 0.29, 67.40
2940, 336, 39.20, 13.67, 56.97, 0.29, 68.10
2941, 333, 38.20, 13.69, 57.01, 0.29, 68.70
2942, 335, 39.00, 13.75, 56.95, 0.32, 68.30
2943, 335, 39.00, 13.74, 56.96, 0.25, 72.60
2944, 334, 38.70, 13.78, 56.98, 0.29, 70.90
2945, 335, 38.30, 13.83, 56.98, 0.26, 69.60
2946, 336, 39.30, 13.91, 57.03, 0.26, 71.00
2947, 335, 38.60, 13.92, 57.04, 0.26, 71.90
2948, 335, 38.50, 13.95, 57.01, 0.26, 74.70
2949, 331, 38.40, 13.93, 57.07, 0.33, 74.70
